Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
1,스파인 코렉터 브리딩,Spine Corrector Breathing,"복횡근, 횡격막, 골반저근",흉곽 측면,"1. 준비: 스파인 코렉터의 아치(Barrel) 위에 등을 대고 누워, 무릎을 구부리고 발을 바닥에 둡니다. 양손으로 **손잡이(Handles)**를 잡거나 체어를 안정시킵니다. 2. 들이마시기: 숨을 깊게 들이마시며 갈비뼈를 옆으로, 뒤로, 넓게 확장하여 흉곽 전체를 늘립니다. 아치에 기대어 흉추 신전을 보조합니다. 3. 내쉬기: 숨을 천천히 내쉬며 복횡근을 사용하여 갈비뼈를 조이고 배꼽을 척추 쪽으로 깊이 끌어당깁니다. 4. 집중: 호흡의 깊이에 집중하며, 흉곽의 움직임을 느껴 횡격막과 복부의 연결을 강화합니다.",스프링 없음,6 breaths,"Inhale wide, Exhale narrow","Joseph Pilates Archive 1938, Jay Grimes 2024"
2,스파인 코렉터 롤 다운,Roll Down on Spine Corrector,"복직근, 복사근","척주기립근, 햄스트링","1. 준비: 스파인 코렉터의 리듬 파트(Rhythm Part) 위에 앉아 무릎을 구부리거나 다리를 앞으로 폅니다. 2. 롤 다운: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 뒤로 기울입니다. 3. 롤 업: 숨을 들이마시며 복부의 통제력으로 다시 올라옵니다. 4. 주의: 척추의 분절에 집중하며, 허리가 꺾이지 않도록 합니다.",스프링 없음,6,"Exhale roll down, Inhale roll up","Return to Life p.72"
3,스파인 코렉터 롤 오버,Roll Over on Spine Corrector,"복직근, 대둔근, 햄스트링",척주기립근,"1. 준비: 스파인 코렉터 위에 등을 대고 누워, 다리를 천장으로 90도 듭니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 머리 위로 보냅니다. 3. 다리 위치: 다리를 어깨너비로 벌립니다. 4. 롤 다운: 숨을 들이마시며 척추를 하나씩 분절하여 천천히 내려놓고, 다리를 다시 모아 90도 각도로 듭니다. 5. 주의: 아치의 도움으로 **척추의 분절**을 더 쉽게 유도합니다.",스프링 없음,6,"Exhale roll over, Inhale roll down","Return to Life p.35"
4,스파인 코렉터 스완,Swan on Spine Corrector,"척주기립근, 대둔근, 햄스트링","복직근, 장요근","1. 준비: 스파인 코렉터 위에 엎드려 누워, 양손은 바닥이나 손잡이를 잡습니다. 2. 신전: 숨을 들이마시며 척추 기립근을 사용하여 상체를 들어 올립니다(흉추 신전). 3. 돌아오기: 숨을 내쉬며 복부의 통제력으로 천천히 돌아옵니다. 4. 주의: 아치의 도움으로 척추 신전이 용이하며, 요추에서 과도한 신전이 일어나지 않도록 복부를 당깁니다.",스프링 없음,6,"Inhale lift, Exhale lower","Return to Life p.80"
5,스파인 코렉터 사이드 밴드,Side Bend on Spine Corrector,"복사근, 중둔근","광배근, 요방형근","1. 준비: 스파인 코렉터 위에 옆으로 앉아, 아래쪽 팔은 바렐에 기대고 위쪽 팔은 머리 위로 듭니다. 2. 측면 굴곡: 숨을 들이마시며 아치에 기대어 상체를 옆으로 굽힙니다 (Side Bend). 3. 늘이기: 숨을 내쉬며 위쪽 팔을 머리 위로 길게 뻗어 측면을 최대한 늘립니다. 4. 돌아오기: 숨을 들이마시며 복사근의 힘으로 몸통을 세워 돌아옵니다. 5. 집중: 측면 복부 근육의 수축과 스트레칭에 집중합니다.",스프링 없음,5+5,"Inhale bend, Exhale stretch","Return to Life p.75"
6,스파인 코렉터 레그 풀 프론트,Leg Pull Front on Spine Corrector,"복직근, 전거근, 대퇴사두근, 코어","종아리, 햄스트링, 아킬레스건","1. 준비: 스파인 코렉터 위에 엎드려 누워, 양손은 바닥을 짚고 플랭크 자세를 취합니다. 2. 올리기: 숨을 내쉬며 한쪽 다리를 천장으로 곧게 들어 올립니다. 3. 내리기: 숨을 들이마시며 천천히 저항하며 다리를 내립니다. 4. 주의: 다리를 들 때 허리가 꺾이지 않도록 복부를 당기고, **아치의 안정성**을 유지합니다.",스프링 없음,4+4,"Exhale lift, Inhale down","Return to Life p.53"
7,스파인 코렉터 레그 풀 백,Leg Pull Back on Spine Corrector,"대둔근, 햄스트링, 코어",장요근,"1. 준비: 스파인 코렉터 위에 등을 대고 누워, 리버스 플랭크(Reverse Plank) 자세를 취합니다. 2. 올리기: 숨을 내쉬며 한쪽 다리를 천장으로 곧게 들어 올립니다. 3. 내리기: 숨을 들이마시며 천천히 저항하며 다리를 내립니다. 4. 주의: **엉덩이가 떨어지지 않도록** 둔근과 햄스트링을 강하게 수축합니다.",스프링 없음,4+4,"Exhale lift, Inhale down","Return to Life p.54"
8,스파인 코렉터 싱글 레그 서클,Single Leg Circle on Spine Corrector,"복사근, 중둔근, 고관절 굴곡근","내전근, 햄스트링","1. 준비: 스파인 코렉터 위에 등을 대고 누워 한쪽 다리를 천장으로 90도 듭니다. 2. 서클: 숨을 내쉬며 다리를 벌려 원을 그리고, 숨을 들이마시며 다리를 모아 중앙으로 돌아옵니다. 3. 방향: 3번은 바깥에서 안으로, 3번은 안에서 바깥으로 원을 그립니다. 4. 주의: 동작 내내 **골반이 흔들리지 않도록** 코어를 강하게 잡습니다.",스프링 없음,3+3,"Exhale circle, Inhale return","Return to Life p.38"
9,스파인 코렉터 롤링,Rolling on Spine Corrector,"복직근, 척주기립근 (마사지)","요추 기립근","1. 준비: 스파인 코렉터의 리듬 파트 위에 앉아, 무릎을 구부려 발목을 잡고 등을 둥글게(C 커브) 맙니다. 2. 굴러가기: 숨을 들이마시며 등 뒤로 굴러가 바렐의 아치에 닿게 합니다. 3. 올라오기: 숨을 내쉬며 복부의 힘으로 다시 앞으로 굴러와 균형을 잡습니다. 4. 주의: 목에 힘을 빼고 척추를 마사지하듯 연속적인 움직임을 유지합니다.",스프링 없음,6-8,"Inhale back, Exhale forward","Return to Life p.39"
10,스파인 코렉터 시저,Scissors on Spine Corrector,"복직근, 복사근, 장요근","햄스트링","1. 준비: 스파인 코렉터 위에 등을 대고 누워, 머리, 목, 어깨를 들어 올리고, 양 다리를 천장으로 90도 듭니다. 2. 교차 & 펌핑: 숨을 내쉬며 다리를 교차하고, 숨을 들이마시며 멈춥니다. 3. 주의: 다리를 내릴 때 허리가 뜨지 않도록 복부를 강하게 수축합니다.",스프링 없음,6+6,"Exhale switch, Inhale hold","Return to Life p.42"
