Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
1,롤 다운,Roll Down,"복직근, 복횡근, 경추 심부 굴곡근","척주기립근, 햄스트링","1. 준비: 타워를 바라보고 서서, 롤다운 바(Roll Down Bar)를 어깨너비로 잡고 팔을 쭉 폅니다. 2. 말아 내리기: 숨을 내쉬며 배꼽을 척추 쪽으로 강하게 끌어당겨 C 커브를 만들고, 경추, 흉추, 요추 순으로 척추를 하나씩 말아 바를 앞쪽 아래로 천천히 누르며 내려갑니다. 3. 올라오기: 숨을 들이마시며 (또는 내쉬며) 요추부터 흉추, 경추 순으로 척추를 하나씩 쌓아 다시 곧게 선 자세로 돌아옵니다. 4. 집중: 동작 내내 복부의 통제력을 사용하며, 햄스트링의 늘어남을 느낍니다.",2 Yellow (light),6,"Exhale roll down, Inhale stack up","Return to Life p.92, Jay Grimes 2023"
2,롤 다운 위드 푸시,Push Down,"복직근, 삼두근, 전거근",척주기립근,"1. 준비: 롤 다운 자세로 내려가 C 커브를 만든 상태를 유지합니다. 2. 푸시: 숨을 내쉬며 팔을 쭉 펴서(삼두근 사용) 바를 아래로 강하게 누름과 동시에, 다리를 살짝 펴서 햄스트링을 더 깊이 스트레칭합니다. 3. 돌아오기: 숨을 들이마시며 팔꿈치와 무릎을 살짝 구부려 원래 자세로 돌아옵니다. 4. 주의: **C 커브(복부 긴장)**는 동작 내내 풀리지 않도록 유지하고, 허리가 꺾이지 않도록 합니다.",2 Yellow,6,"Exhale push, Inhale up","Romana Cadillac Tape 1999"
3,캣 스트레치,Cat Stretch,"복직근, 견갑 전인근, 코어",척주기립근,"1. 준비: 타워를 바라보고 네 발 기기(Quadruped) 자세를 취합니다. 무릎은 엉덩이 아래, 양손은 롤다운 바를 잡습니다. 2. 라운드 (Cat): 숨을 내쉬며 배꼽을 천장으로 끌어올리듯이 척추를 둥글게(C 커브) 말고, 동시에 팔을 쭉 펴서 바를 앞쪽으로 밀어냅니다(견갑골 전인). 3. 아치 (Arch): 숨을 들이마시며 가슴을 열어 척추를 아치 모양으로 만들고, 동시에 팔을 살짝 구부려 바를 몸 쪽으로 당겨옵니다(견갑골 후인). 4. 집중: 척추의 부드러운 분절에 집중하며, 어깨가 귀에 닿지 않도록 합니다.",1 Red,8,"Exhale round, Inhale arch","Joseph Pilates Archive 1940"
4,타워,Tower,"복직근, 대둔근, 햄스트링, 코어",척주기립근,"1. 준비: 타워 아래에 등을 대고 누워, 롤다운 바를 곧게 뻗은 팔로 잡고 다리는 천장으로 90도 들어 올립니다. 2. 올리기: 숨을 내쉬며 복부의 힘으로 골반을 척추 마사지하듯 들어 올립니다(롤 오버). 3. 분절 & 내리기: 숨을 들이마시며 척추를 하나씩 분절하여 천천히 내려놓습니다. 4. 주의: 목에 힘이 들어가지 않도록 하고, 복부의 통제력을 유지합니다.",2 Yellow,6,"Exhale lift, Inhale roll down","Return to Life p.93"
5,몽키,Monkey,"복직근, 햄스트링, 고관절 굴곡근","척추기립근","1. 준비: 타워에 등을 대고 누워 발바닥을 푸시쓰루 바에 댑니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 발바닥으로 바를 천장 쪽으로 밉니다. 3. 다리 서클: 바를 고정한 상태에서 다리를 벌려 원을 그리고, 모으며 중앙으로 돌아옵니다. 4. 롤 다운: 숨을 들이마시며 척추를 하나씩 분절하여 천천히 내려놓습니다. 5. 주의: **푸시쓰루 바**의 저항을 느끼며 햄스트링의 스트레칭을 유도합니다.",2 Yellow (or 1 Red),6,"Exhale up, Inhale circle, Exhale roll down","Return to Life p.95"
6,스완,Swan,"척주기립근, 대둔근, 햄스트링","복직근, 장요근","1. 준비: 캐딜락 테이블 위에 엎드려 누워, 양손은 트래피즈 바를 잡거나 테이블 위에 둡니다. 2. 신전: 숨을 들이마시며 척추 기립근을 사용하여 상체를 들어 올립니다(흉추 신전). 3. 돌아오기: 숨을 내쉬며 복부의 통제력으로 천천히 돌아옵니다. 4. 주의: 요추에서 과도한 신전이 일어나지 않도록 복부를 당깁니다.",스프링 없음,6,"Inhale lift, Exhale lower","Return to Life p.80"
7,스완 프롬 롤다운 바,Swan from Roll Down Bar,"하승모근, 능형근, 후면 삼각근, 척주기립근",복직근,"1. 준비: 테이블 위에 엎드려 누워, 양손으로 롤다운 바를 어깨너비로 잡습니다. 2. 당기기 & 신전: 숨을 들이마시며 팔꿈치를 구부려 바를 몸 쪽으로 당기고, 동시에 척추 기립근을 사용하여 상체를 들어 올립니다. 3. 돌아오기: 숨을 내쉬며 천천히 돌아옵니다. 4. 집중: 팔의 힘이 아닌 **등 근육(하승모근, 능형근)**의 힘으로 바를 당겨 흉추에서 신전이 일어나도록 하고, 복부가 바닥에서 늘어지는 것을 방지합니다.",1 Red top spring,6,"Inhale lift, Exhale lower","Joseph Pilates Film 1939"
8,레그 스프링 서클,Leg Spring Circles,"복사근, 중둔근, 고관절 굴곡근","내전근, 햄스트링","1. 준비: 등을 대고 누워 한쪽 다리에 레그 스프링을 걸고 다리를 천장으로 90도 듭니다. 2. 서클: 숨을 내쉬며 다리를 벌려 원을 그리고, 숨을 들이마시며 다리를 모아 중앙으로 돌아옵니다. 3. 방향: 3번은 바깥에서 안으로, 3번은 안에서 바깥으로 원을 그립니다. 4. 주의: 동작 내내 **골반이 흔들리지 않도록** 코어를 강하게 잡고, 다리의 움직임은 고관절에서만 일어나도록 합니다.",1 Yellow each,6+6,"Exhale circle, Inhale return","Return to Life p.42"
9,레그 스프링 프로그,Leg Spring Frog,"내전근, 대둔근, 복직근","고관절 굴곡근","1. 준비: 등을 대고 누워 양쪽 발꿈치에 레그 스프링을 걸고, 무릎을 구부려 **다이아몬드** 모양을 만듭니다. 2. 뻗기: 숨을 내쉬며 내전근과 둔근의 힘으로 다리를 45도 각도로 쭉 뻗어냅니다. 3. 돌아오기: 숨을 들이마시며 천천히 무릎을 구부려 돌아옵니다. 4. 주의: 다리를 뻗을 때 허리가 뜨지 않도록 복부를 당깁니다.",1 Yellow each,8,"Exhale extend, Inhale return","Return to Life p.38"
10,레그 스프링 힙 서클,Leg Spring Hip Circles,"중둔근, 복사근, 고관절 굴곡근","내전근","1. 준비: 등을 대고 누워 양쪽 발목에 레그 스프링을 걸고, 다리를 천장으로 90도 듭니다. 2. 서클: 숨을 내쉬며 다리를 벌려 원을 그리고, 숨을 들이마시며 다리를 모아 중앙으로 돌아옵니다. 3. 방향: 3번은 바깥에서 안으로, 3번은 안에서 바깥으로 원을 그립니다. 4. 주의: 동작 내내 **골반이 흔들리지 않도록** 코어를 강하게 잡습니다.",1 Yellow each,3+3,"Exhale open, Inhale close","Return to Life p.42"
