Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
1,더 헌드레드,The Hundred,"복직근, 복횡근, 경추 심부 굴곡근, 내전근","장요근, 흉곽","1. 준비: 등을 대고 누워 무릎을 세우거나 다리를 90도로 테이블 탑 자세로 듭니다. 팔은 몸통 옆에 길게 뻗습니다. 2. 세팅: 숨을 내쉬며 복부 수축을 통해 머리, 목, 어깨를 들어 올리고 시선은 배꼽이나 복부를 향합니다 (컬업/Curl-up). 3. 다리 펴기: 다리를 45도, 천장, 또는 바닥 가까이 (허리가 뜨지 않는 범위) 폅니다. 내전근을 사용하여 다리를 서로 강하게 붙입니다. 4. 펌핑 & 호흡: 팔을 몸통 옆에 두고 손바닥이 바닥을 향하도록 하여 팔 전체를 위아래로 강하게 펌핑합니다. 5번 들이마시고 (Inhale, 5 pumps), 5번 내쉬는 (Exhale, 5 pumps) 호흡을 총 10세트(100번) 반복합니다. 5. 집중: 경추 심부 굴곡근을 사용하여 목의 안정성을 유지하고, 복부의 강력한 수축으로 허리가 뜨지 않도록 합니다.",스프링 없음,100 pumps,"5in-5out ×10","Return to Life p.34, Jay Grimes 2022"
2,롤 업,Roll Up,"복직근, 복사근, 장요근","요추 기립근, 햄스트링","1. 준비: 등을 대고 누워 다리를 길게 펴고 발끝을 천장으로 당깁니다. 팔은 머리 위로 뻗어 바닥에 댑니다. 2. 시작: 숨을 들이마시며 팔을 천장으로 들어 올리고, 턱을 가슴 쪽으로 당깁니다. 3. 올라가기: 숨을 내쉬며 복직근을 사용하여 C 커브 모양으로 척추를 하나씩 말아 올라옵니다. 다리가 뜨지 않도록 내전근과 둔근을 사용합니다. 4. 전방 굴곡: 몸이 수직이 되면 복부의 긴장을 풀지 않고 손끝을 발끝보다 더 멀리 뻗어 햄스트링과 등 상부를 스트레칭합니다. 5. 내려오기: 숨을 내쉬며 복부의 통제력으로 꼬리뼈부터 척추를 하나씩 통제하며 천천히 바닥으로 말아 내려갑니다.",스프링 없음,6,"Inhale 준비, Exhale roll up, Inhale top, Exhale roll down","Romana Kryzanowska Mat 1998"
3,롤 오버,Roll Over,"복직근, 대둔근, 햄스트링",척주기립근,"1. 준비: 등을 대고 누워 다리를 천장으로 90도 듭니다. 팔은 몸통 옆에 둡니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 머리 위로 보냅니다. 발끝은 바닥에 닿도록 합니다. 3. 다리 위치: 다리를 어깨너비로 벌립니다. 4. 롤 다운: 숨을 들이마시며 척추를 하나씩 분절하여 천천히 내려놓고, 다리를 다시 모아 90도 각도로 듭니다. 5. 주의: 목에 힘이 들어가지 않도록 주의하고, **척추의 부드러운 분절**에 집중합니다.",스프링 없음,6,"Exhale roll over, Inhale roll down","Return to Life p.35"
4,싱글 레그 서클,Single Leg Circle,"복사근, 중둔근, 고관절 굴곡근","내전근, 햄스트링","1. 준비: 등을 대고 누워 한쪽 다리를 천장으로 90도 듭니다. 반대쪽 다리는 바닥에 곧게 폅니다. 2. 서클: 숨을 내쉬며 다리를 벌려 원을 그리고, 숨을 들이마시며 다리를 모아 중앙으로 돌아옵니다. 3. 방향: 3번은 바깥에서 안으로, 3번은 안에서 바깥으로 원을 그립니다. 4. 주의: 동작 내내 **골반이 흔들리지 않도록** 코어를 강하게 잡습니다.",스프링 없음,3+3,"Exhale circle, Inhale return","Return to Life p.38"
5,롤링 라이크 어 볼,Rolling Like a Ball,"복직근, 척주기립근 (마사지)","요추 기립근","1. 준비: 무릎을 구부려 앉아 발목을 잡고, 등을 둥글게(C 커브) 말아 발을 바닥에서 살짝 듭니다. 2. 굴러가기: 숨을 들이마시며 등 뒤로 굴러가 견갑골까지 닿게 합니다. 3. 올라오기: 숨을 내쉬며 복부의 힘으로 다시 앞으로 굴러와 발을 바닥에 대지 않고 균형을 잡습니다. 4. 주의: 목에 힘을 빼고 척추를 마사지하듯 연속적인 움직임을 유지합니다.",스프링 없음,6-8,"Inhale back, Exhale forward","Return to Life p.39"
6,싱글 레그 스트레치,Single Leg Stretch,"복직근, 복사근, 장요근","대둔근, 햄스트링","1. 준비: 등을 대고 누워, 머리, 목, 어깨를 들어 올립니다. 한쪽 무릎은 가슴 쪽으로 당기고, 반대쪽 다리는 45도 각도로 폅니다. 2. 교차: 숨을 내쉬며 다리를 교차하고, 숨을 들이마시며 반대쪽 다리를 당깁니다. 3. 주의: 다리를 뻗을 때 허리가 뜨지 않도록 복부의 통제력을 유지합니다.",스프링 없음,6+6,"Exhale switch, Inhale hold","Return to Life p.40"
7,더블 레그 스트레치,Double Leg Stretch,"복직근, 복사근, 장요근","대둔근, 햄스트링","1. 준비: 등을 대고 누워, 머리, 목, 어깨를 들어 올립니다. 양 무릎을 가슴 쪽으로 당기고 양손으로 발목을 잡습니다. 2. 뻗기: 숨을 들이마시며 팔과 다리를 동시에 앞으로 (또는 천장으로) 뻗어냅니다. 3. 돌아오기: 숨을 내쉬며 팔을 원을 그리듯 돌려 무릎을 다시 가슴 쪽으로 당깁니다. 4. 주의: 다리를 뻗을 때 허리가 뜨지 않도록 복부를 강하게 수축합니다.",스프링 없음,6-8,"Inhale extend, Exhale return","Return to Life p.41"
8,스파인 스트레치 포워드,Spine Stretch Forward,"척주기립근, 복횡근","햄스트링, 요추 기립근","1. 준비: 다리를 앞으로 쭉 펴고 앉아, 발끝을 천장으로 당깁니다. 팔은 앞으로 나란히 폅니다. 2. 전방 굴곡: 숨을 내쉬며 복부의 통제력으로 척추를 C 커브 모양으로 말아 앞으로 숙입니다. 3. 돌아오기: 숨을 들이마시며 척추를 하나씩 쌓아 올립니다. 4. 집중: 햄스트링 스트레칭과 복부의 활성화에 집중하며, 꼬리뼈부터 정수리까지 척추의 분절을 느낍니다.",스프링 없음,6,"Exhale forward, Inhale stack up","Return to Life p.20"
9,로커 윗 오픈 레그,Rocker with Open Legs,"복직근, 대둔근, 햄스트링, 척주기립근","요추 기립근","1. 준비: 무릎을 구부려 앉아 양손으로 발목을 잡고, 다리를 천장으로 쭉 펴서 **V자** 모양을 만듭니다. 2. 굴러가기: 숨을 들이마시며 등 뒤로 굴러가 견갑골까지 닿게 합니다. 3. 올라오기: 숨을 내쉬며 복부의 힘으로 다시 앞으로 굴러와 다리를 편 채 균형을 잡습니다. 4. 주의: 목에 힘을 빼고 척추를 마사지하듯 연속적인 움직임을 유지합니다.",스프링 없음,6,"Inhale back, Exhale forward","Return to Life p.44"
10,코르크 스크류,Corkscrew,"복사근, 복직근, 햄스트링","척주기립근","1. 준비: 등을 대고 누워 다리를 천장으로 90도 듭니다. 팔은 몸통 옆에 둡니다. 2. 서클 & 트위스트: 숨을 내쉬며 다리 전체로 원을 그리고, 동시에 몸통을 살짝 비틉니다. 3. 방향: 3번은 한 방향, 3번은 반대 방향으로 원을 그립니다. 4. 주의: 복부의 통제력으로 몸통의 안정성을 유지하며, **척추의 트위스트**를 유도합니다.",스프링 없음,3+3,"Exhale circle, Inhale center","Return to Life p.43"
