Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
1,발끝으로 밟기,Footwork - Toes,"복직근, 대퇴사두근, 대둔근, 햄스트링, 비복근/가자미근, 발바닥 내재근","고관절 굴곡근, 종아리, 아킬레스건","1. 준비: 리포머에 등을 대고 누워, 머리는 베개 끝, 어깨는 어깨받이에서 손바닥 하나 정도 떨어지게 둡니다. 2. 발 위치: 발가락 아래 볼(Ball of Foot) 부분만 발판 중앙에 올리고, 양 발꿈치는 딱 붙이고 발가락은 살짝 바깥으로 벌려 **V자(필라테스 스탠스)**를 만듭니다. 3. 밀어내기: 숨을 크게 들이마시며 둔부와 복부의 힘을 이용해 다리를 쭉 펴서 캐리지를 끝까지 밀어냅니다. 4. 끌어당기기: 숨을 천천히 내쉬며 발가락으로 발판을 부드럽게 끌어당기듯이 무릎을 구부려 돌아옵니다. 5. 주의: 동작 내내 배꼽을 바닥에 붙여 허리가 뜨지 않도록 하고, 엉덩이는 1mm도 들리지 않게 고정합니다. 발가락 5개 모두 발판을 똑같이 누릅니다.",3–4 Red + 1 Blue,10,"밀 때 크게 들이마시기 – 끌어올 때 천천히 내쉬기","Return to Life 1945"
2,발바닥 중앙으로 밟기,Footwork - Arches,"대퇴사두근, 대둔근, 발바닥 내재근, 전경골근","햄스트링, 종아리","1. 발 위치: 바로 **발볼 중앙(발등이 시작되는 부분)**으로 발을 옮겨 놓습니다. 발꿈치는 살짝 들고 발등을 정강이와 90도가 되도록 세웁니다. 2. 발 모양: 발가락은 길게 뻗고 힘을 뺀 상태를 유지하며, 양 발꿈치는 서로 계속 붙여 놓습니다. 3. 밀어내기: 숨을 들이마시며 대퇴사두근과 둔근에 집중하며 끝까지 밀어냅니다. 4. 끌어당기기: 숨을 내쉬며 발목의 90도 각도를 유지하면서 천천히 무릎을 구부려 끌어당깁니다. 5. 주의: 동작 내내 발등이 꺾이거나 발가락에 힘이 들어가 구부러지지 않도록 90도 각을 철저히 유지합니다.",3–4 Red + 1 Blue,10,"밀 때 들이마시기 – 끌어올 때 내쉬기","Balanced Body 2023"
3,발꿈치로 밟기,Footwork - Heels,"대둔근, 햄스트링, 중둔근, 비복근/가자미근","고관절 굴곡근, 전경골근","1. 발 위치: 발꿈치를 발판 중앙에 올리고, 발가락은 길게 펴서 발등 쪽으로 당깁니다. 양 발꿈치는 서로 강하게 붙여 **V자**를 만듭니다. 2. 밀어내기: 숨을 들이마시며 대둔근과 햄스트링의 힘으로 다리를 쭉 펴서 밀어냅니다. 3. 끌어당기기: 숨을 내쉬며 복부의 통제력을 유지하면서 천천히 무릎을 구부려 돌아옵니다. 4. 주의: 밀어내는 동안 발꿈치가 떨어지거나, 무릎을 구부릴 때 발목이 꺾이지 않도록 합니다.",3–4 Red + 1 Blue,10,"밀 때 들이마시기 – 끌어올 때 내쉬기","Return to Life 1945"
4,발 측면으로 밟기,Footwork - Tendon Stretch,"전경골근, 발목 배굴근, 코어, 대퇴사두근","비복근/가자미근, 아킬레스건, 햄스트링","1. 준비: 발끝으로 밟기 자세처럼 발가락을 발판에 올린 후, 다리를 완전히 펴서 캐리지를 밀어냅니다. 2. 내리기: 숨을 내쉬며 발목을 천천히 펴서 발꿈치를 발판 아래로 내려 아킬레스건을 늘립니다. 3. 올리기: 숨을 들이마시며 발목을 당겨 발꿈치를 다시 올립니다. 4. 주의: 무릎이 구부러지거나 골반이 움직이지 않도록 합니다.",3–4 Red + 1 Blue,10,"내릴 때 내쉬기 – 올릴 때 들이마시기","Jay Grimes 2024"
5,한 발만 발끝,One Leg - Toes,"대둔근, 햄스트링, 중둔근","고관절 굴곡근","1. 준비: 한쪽 발은 발판에 발끝 자세로 올리고, 반대쪽 무릎은 가슴 쪽으로 깊게 구부려 고정합니다. 2. 밀어내기: 숨을 들이마시며 발판 위의 다리를 쭉 펴서 밀어냅니다. 3. 끌어당기기: 숨을 내쉬며 돌아옵니다. 4. 주의: 다리를 펴고 구부리는 동안 골반의 수평을 유지하고, 몸통이 흔들리지 않도록 복부의 힘을 유지합니다.",1 Red,6–8,"밀 때 들이마시기 – 끌어올 때 내쉬기","Romana Kryzanowska 1980"
6,한 발만 아치,One Leg - Arches,"대퇴사두근, 중둔근, 전경골근","햄스트링","1. 준비: 한쪽 발은 아치 자세로 올리고, 반대쪽 무릎은 가슴 쪽으로 구부려 고정합니다. 2. 밀어내기: 숨을 들이마시며 대퇴사두근에 집중하며 다리를 폅니다. 3. 끌어당기기: 숨을 내쉬며 발목 각도를 유지하며 돌아옵니다. 4. 주의: 발목의 90도 각도를 유지하며 발등이 꺾이지 않도록 합니다.",1 Red,6–8,"밀 때 들이마시기 – 끌어올 때 내쉬기","Jay Grimes 2018"
7,한 발만 발꿈치,One Leg - Heels,"대둔근, 햄스트링","고관절 굴곡근","1. 준비: 한쪽 발은 발꿈치 자세로 올리고, 반대쪽 무릎은 가슴 쪽으로 구부려 고정합니다. 2. 밀어내기: 숨을 들이마시며 둔부와 햄스트링에 집중하며 다리를 길게 뻗어냅니다. 3. 끌어당기기: 숨을 내쉬며 돌아옵니다. 4. 주의: 다리를 뻗어낼 때 발꿈치가 떨어지지 않도록 고정하는 데 집중하며, 척추를 길게 뻗어내는 느낌을 유지합니다.",1 Red,6–8,"밀 때 들이마시기 – 끌어올 때 내쉬기","Jay Grimes 2018"
8,텐던 스트레치,Tendon Stretch,"전경골근, 발목 배굴근, 코어, 대퇴사두근","비복근/가자미근, 아킬레스건, 햄스트링","1. 준비: 발끝으로 밟기 자세처럼 발가락을 발판에 올린 후, 다리를 완전히 펴서 캐리지를 밀어냅니다. 2. 내리기: 숨을 내쉬며 발목을 천천히 펴서 발꿈치를 발판 아래로 내려 아킬레스건을 늘립니다. 3. 올리기: 숨을 들이마시며 발목을 당겨 발꿈치를 다시 올립니다. 4. 주의: 무릎이 구부러지거나 골반이 움직이지 않도록 합니다.",3–4 Red + 1 Blue,10,"내릴 때 내쉬기 – 올릴 때 들이마시기","Jay Grimes 2024"
9,싱글 레그 스트레치,Single Leg Stretch,"복직근, 복사근, 장요근","대둔근, 햄스트링","1. 준비: 누워서 헤드레스트에 머리를 대고, 양 발꿈치에 스트랩을 겁니다. 무릎은 90도로 구부립니다. 2. 뻗기: 숨을 내쉬며 한쪽 다리를 앞으로 45도 각도로 쭉 뻗어냅니다. 3. 교차: 숨을 들이마시며 뻗은 다리를 구부리고, 숨을 내쉬며 반대쪽 다리를 뻗습니다. 4. 주의: 다리를 뻗을 때 허리가 뜨지 않도록 복부의 통제력을 유지합니다.",1 Red,8+8,"Exhale extend, Inhale return","Return to Life p.40"
10,롱 스파인,Long Spine,"복직근, 대둔근, 햄스트링","척주기립근","1. 준비: 누워서 발꿈치에 스트랩을 걸고, 무릎을 가슴 쪽으로 당겨 **테이블 탑** 자세를 취합니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 천장으로 뻗습니다. 3. 분절 & 내리기: 숨을 들이마시며 척추를 하나하나 분절하여 캐리지를 밀어내며 내려옵니다. 4. 주의: 목에 힘이 들어가지 않도록 주의하고, 척추의 부드러운 분절에 집중합니다.",1 Red + 1 Blue,6,"Exhale roll over, Inhale roll down","Romana Kryzanowska 1998"
