Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
1,스텝 업,Step Up,"대퇴사두근, 대둔근, 비복근/가자미근",햄스트링,"1. 준비: 체어 앞에 서서, 한쪽 발을 페달 위에 올립니다. 발뒤꿈치는 페달의 앞쪽에 위치하고, 골반은 정면을 향하게 합니다. 2. 올라가기: 숨을 들이마시며 페달 위의 발뒤꿈치와 둔근의 힘을 사용하여 몸통을 수직으로 들어 올립니다. 반대쪽 무릎은 90도로 들어 올립니다. 3. 내려오기: 숨을 내쉬며 페달의 저항을 통제하면서 천천히 원래 자세로 돌아옵니다. 4. 집중: 올라갈 때 골반이 옆으로 기울어지지 않도록 코어를 강하게 유지합니다.",2 bottom (heavy),10+10,"Inhale up, Exhale down","Return to Life Chair p.94, Jay Grimes 2024"
2,펌핑 시팅,Pumping Sitting,"복직근, 대퇴사두근, 코어",고관절 굴곡근,"1. 준비: 체어 위에 앉아 발뒤꿈치로 페달 중앙을 밟습니다. 등은 곧게 펴고 코어를 활성화합니다. 2. 펌핑: 숨을 빠르게 들이마시고 내쉬며 대퇴사두근과 복직근의 힘을 사용하여 빠르게 페달을 튕기듯이 누릅니다. 3. 주의: 몸통이 앞뒤로 흔들리지 않도록 척추의 중립을 유지하고, 배꼽을 척추 쪽으로 강하게 당겨 코어를 고정합니다.",2 bottom,20,"Quick breath","Joseph Pilates Original"
3,햄스트링 컬,Hamstring Curl,"햄스트링, 대둔근, 복직근",대퇴사두근,"1. 준비: 체어 위에 무릎 꿇고 앉아, 발끝을 페달 위에 올립니다. 양손은 의자의 등받이를 잡습니다. 2. 컬: 숨을 내쉬며 햄스트링과 둔근의 힘으로 페달을 아래로 강하게 끌어당깁니다. 3. 돌아오기: 숨을 들이마시며 천천히 저항하며 페달을 올립니다. 4. 집중: 햄스트링의 수축에 집중하고, 무릎이 벌어지지 않도록 고정합니다.",1 bottom,10,"Exhale pull, Inhale return","Return to Life Chair p.95"
4,프론트 스플릿,Front Split,"대퇴사두근, 햄스트링, 코어",고관절 굴곡근,"1. 준비: 체어 앞에 서서 앞발은 바닥에, 뒷발 발끝을 페달 중앙에 올립니다. 2. 스플릿: 숨을 내쉬며 앞발을 앞으로 밀어 최대한 깊은 스플릿 자세를 취하고, 동시에 뒷발의 힘으로 페달을 아래로 누릅니다. 3. 돌아오기: 숨을 들이마시며 강한 둔근과 대퇴사두근의 힘으로 돌아옵니다. 4. 집중: 골반의 수평을 유지하며 고관절의 유연성과 하체의 근력을 동시에 강화합니다.",1 bottom,4+4,"Exhale split, Inhale return","Joseph Pilates Original"
5,사이드 스플릿,Side Split,"중둔근, 내전근",TFL,"1. 준비: 체어 옆에 옆으로 서서 한 발은 바닥에, 반대쪽 발을 페달 중앙에 올립니다. 2. 스플릿: 숨을 들이마시며 중둔근과 내전근의 통제력을 사용해 다리를 옆으로 최대한 벌립니다(Side Split). 3. 돌아오기: 숨을 내쉬며 내전근의 힘으로 천천히 다리를 모아 돌아옵니다. 4. 주의: 몸통이 옆으로 기울어지지 않도록 코어를 강하게 잡습니다.",1 bottom,4+4,"Inhale open, Exhale close","Romana's Split"
6,머메이드,Mermaid,"복사근, 광배근","내전근, 요방형근","1. 준비: 체어 위에 옆으로 앉아(Mermaid 자세), 안쪽 손으로 핸들을 잡습니다. 2. 측면 굴곡: 숨을 들이마시며 핸들을 잡지 않은 쪽으로 상체를 옆으로 굽힙니다. 3. 아크 & 푸시: 숨을 내쉬며 핸들을 잡지 않은 팔을 머리 위로 뻗어 페달을 아래로 눌러 측면을 늘립니다. 4. 돌아오기: 숨을 들이마시며 복사근의 힘으로 몸통을 세워 돌아옵니다.",1 top,6+6,"Inhale bend, Exhale push","Return to Life p.75"
7,체스트 익스팬션,Chest Expansion,"광배근, 후면 삼각근, 하부 승모근","대흉근, 전면 삼각근","1. 준비: 체어 위에 무릎 꿇고 앉아, 양손으로 짧은 스트랩을 잡습니다. 2. 당기기: 숨을 내쉬며 팔을 뒤로 쭉 뻗어 광배근과 하부 승모근을 사용하여 스트랩을 당깁니다. 3. 유지 & 회전: 당긴 상태를 유지하며 고개를 한쪽으로 돌립니다. 4. 돌아오기: 숨을 들이마시며 고개를 중앙으로 돌린 후, 천천히 팔을 풀며 돌아옵니다. 5. 주의: 팔을 당길 때 상체가 앞으로 기울어지지 않도록 코어를 고정하고, **흉추 신전**을 유지합니다.",1 top each side,6,"Exhale pull, Inhale return","Return to Life p.70"
8,레그 프레스 시팅,Leg Press Sitting,"대퇴사두근, 대둔근, 비복근/가자미근",햄스트링,"1. 준비: 체어 위에 앉아 발끝이나 발볼로 페달을 밟습니다. 등은 곧게 펴고 코어를 활성화합니다. 2. 푸시: 숨을 내쉬며 대퇴사두근과 둔근의 힘으로 페달을 아래로 강하게 누릅니다. 3. 돌아오기: 숨을 들이마시며 천천히 저항하며 돌아옵니다. 4. 집중: **척추의 중립**을 유지하며 하체의 근력 강화에 집중합니다.",2 bottom,10,"Exhale push, Inhale return","Joseph Pilates Original"
9,레그 프레스 스탠딩,Leg Press Standing,"대퇴사두근, 대둔근, 비복근/가자미근",햄스트링,"1. 준비: 체어 앞에 서서, 양발을 페달 위에 올리고 균형을 잡습니다. 양손은 핸들을 잡거나 벽을 짚습니다. 2. 푸시: 숨을 내쉬며 대퇴사두근과 둔근의 힘으로 페달을 아래로 강하게 누릅니다. 3. 돌아오기: 숨을 들이마시며 천천히 저항하며 돌아옵니다. 4. 주의: 무릎이 발끝보다 앞으로 나가지 않도록 합니다.",2 bottom,10,"Exhale push, Inhale return","Return to Life Chair p.93"
10,롱 백 스트레치,Long Back Stretch,"복직근, 햄스트링, 종아리 스트레칭","척주기립근, 고관절 굴곡근","1. 준비: 체어 앞에 서서, 양손은 핸들을 잡고 발은 페달 위에 올립니다. 무릎을 곧게 폅니다. 2. 밀어내기: 숨을 내쉬며 복부의 힘으로 페달을 아래로 강하게 누릅니다. 3. 돌아오기: 숨을 들이마시며 복부의 힘으로 천천히 끌어당겨 돌아옵니다. 4. 주의: 척추를 둥글게(C 커브) 유지하며 복부의 수축에 집중합니다.",1 top,8,"Exhale push, Inhale return","Joseph Pilates Original"
11,롤 오버,Roll Over,"복직근, 대둔근, 햄스트링",척주기립근,"1. 준비: 체어 뒤에 등을 대고 누워, 발바닥을 페달 위에 올립니다. 양손은 체어의 핸들을 잡습니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 머리 위로 보냅니다. 3. 분절 & 내리기: 숨을 들이마시며 척추를 하나씩 분절하여 천천히 내려옵니다. 4. 주의: 목에 힘이 들어가지 않도록 주의하고, 척추의 부드러운 분절에 집중합니다.",1 top,6,"Exhale roll over, Inhale roll down","Return to Life p.41"
12,티저,Teaser,"복직근, 고관절 굴곡근","햄스트링","1. 준비: 체어 위에 앉아, 발바닥을 페달 위에 올립니다. 등은 곧게 펴고 양손은 앞으로 나란히 폅니다. 2. 올리기: 숨을 내쉬며 복부의 힘으로 다리를 45도 각도로 들어 올리고, 상체를 살짝 뒤로 기울여 **V자** 모양을 만듭니다. 3. 돌아오기: 숨을 들이마시며 천천히 돌아옵니다. 4. 주의: 허리가 꺾이지 않도록 복부를 강하게 수축합니다.",1 top,6,"Exhale lift, Inhale return","Return to Life p.37"
13,푸시 업,Push Up,"삼두근, 전거근, 복직근",대흉근,"1. 준비: 체어 앞에 서서, 양손을 페달 위에 댑니다. 발은 뒤로 빼서 플랭크 자세를 취합니다. 2. 푸시 업: 숨을 들이마시며 팔꿈치를 구부려 상체를 내립니다. 3. 푸시: 숨을 내쉬며 삼두근과 전거근의 힘으로 팔을 쭉 펴서 올라옵니다. 4. 주의: 몸통이 흔들리지 않도록 코어를 고정합니다.",1 top,8,"Inhale down, Exhale up","Joseph Pilates Original"
