Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Reps,Breathing_Pattern,References
1,더 헌드레드,The Hundred,"복직근, 복횡근, 경추 심부 굴곡근, 내전근","고관절 굴곡근, 흉곽","1. 준비: 등을 대고 누워 무릎을 세우거나 다리를 90도로 테이블 탑 자세로 듭니다. 팔은 몸통 옆에 길게 뻗습니다. 2. 세팅: 숨을 내쉬며 복부 수축을 통해 머리, 목, 어깨를 들어 올리고 시선은 배꼽이나 복부를 향합니다 (컬업/Curl-up). 3. 다리 펴기: 다리를 45도, 천장, 또는 바닥 가까이 (허리가 뜨지 않는 범위) 폅니다. 내전근을 사용하여 다리를 서로 강하게 붙입니다. 4. 펌핑 & 호흡: 팔을 몸통 옆에 두고 손바닥이 바닥을 향하도록 하여 팔 전체를 위아래로 강하게 펌핑합니다. 5번 들이마시고 (Inhale, 5 pumps), 5번 내쉬는 (Exhale, 5 pumps) 호흡을 총 10세트(100번) 반복합니다. 5. 집중: 경추 심부 굴곡근을 사용하여 목의 안정성을 유지하고, 복부의 강력한 수축으로 허리가 뜨지 않도록 합니다.",100 pumps,5in-5out ×10,"Return to Life p.34, Jay Grimes 2022"
2,롤 업,Roll Up,"복직근, 복사근, 장요근","요추 기립근, 햄스트링","1. 준비: 등을 대고 누워 다리를 길게 펴고 발끝을 천장으로 당깁니다. 팔은 머리 위로 뻗어 바닥에 댑니다. 2. 시작: 숨을 들이마시며 팔을 천장으로 들어 올리고, 턱을 가슴 쪽으로 당깁니다. 3. 올라가기: 숨을 내쉬며 복직근을 사용하여 C 커브 모양으로 척추를 하나씩 말아 올라옵니다. 다리가 뜨지 않도록 내전근과 둔근을 사용합니다. 4. 전방 굴곡: 몸이 수직이 되면 복부의 긴장을 풀지 않고 손끝을 발끝보다 더 멀리 뻗어 햄스트링과 등 상부를 스트레칭합니다. 5. 내려오기: 숨을 내쉬며 복부의 통제력으로 꼬리뼈부터 척추를 하나씩 통제하며 천천히 바닥으로 말아 내려갑니다.",6,"Inhale 준비, Exhale roll up, Inhale top, Exhale roll down",Romana Kryzanowska Mat 1998
3,롤 오버,Roll Over,"복직근, 대둔근, 햄스트링","요추 기립근, 고관절 굴곡근","1. 준비: 등을 대고 누워 팔은 몸통 옆에 둡니다. 다리를 45도 또는 90도로 들어 올립니다. 2. 넘기기: 숨을 내쉬며 복부의 힘으로 골반을 들어 올려 다리를 머리 위로 넘깁니다. 등 뒤의 견갑골로 몸통을 지지하고, 목에 하중이 실리지 않도록 주의합니다. 3. 발 열고 닫기: 발끝이 바닥에 닿으면 발을 어깨너비로 벌렸다가(Inhale) 다시 모읍니다(Exhale). 4. 내려오기: 숨을 내쉬며 척추를 하나씩 통제하여 천천히 바닥으로 말아 내려옵니다. 다리는 다시 45도에서 시작 자세를 준비합니다. 5. 집중: 하복부의 강력한 통제력으로 척추를 마사지하듯 부드럽게 분절하며 내려옵니다.",6 (3+3),"Inhale open, Exhale roll over",Joseph Pilates Film 1939
4,원 레그 서클,One Leg Circle,"복직근, 중둔근, 내전근, 코어 안정성","고관절 굴곡근, 햄스트링","1. 준비: 등을 대고 누워 한 다리는 천장으로 곧게 뻗고, 반대 다리는 길게 펴서 바닥에 둡니다. 팔은 몸통 옆에 둡니다. 2. 원 그리기: 숨을 들이마시며 (또는 내쉬며) 천장으로 뻗은 다리를 골반이 흔들리지 않는 범위 내에서 크게 원을 그리며 움직입니다. 3. 골반 고정: 동작 내내 **복부(복직근)와 둔근(중둔근)**을 사용하여 골반을 바닥에 단단히 고정합니다. 골반이 뜨거나 흔들리면 안 됩니다. 4. 방향: 5번은 안에서 밖으로, 5번은 밖에서 안으로 방향을 바꿔 수행합니다. 5. 집중: 움직이는 다리의 크기보다 몸통의 안정성에 중점을 둡니다.",5+5 each leg,"Inhale cross-up, Exhale around-down",Return to Life p.40
5,롤링 라이크 어 볼,Rolling Like a Ball,"복직근, 척추 기립근, 코어",요추 기립근 (마사지),"1. 준비: 무릎을 굽혀 앉아 C 커브 모양으로 척추를 둥글게 말고, 손으로 발목을 잡거나 정강이를 감싸 안습니다. 발을 바닥에서 띄워 균형을 잡습니다. 2. 굴러가기: 숨을 들이마시며 C 커브를 유지한 채 어깨뼈까지 뒤로 굴러갑니다. 3. 올라오기: 숨을 내쉬며 복부의 수축을 사용하여 반동 없이 다시 원래 자세로 돌아와 발을 바닥에 대지 않고 균형을 잡습니다. 4. 주의: 목이 꺾이지 않도록 턱을 가슴 쪽으로 당기고, 굴러가는 동작이 멈추지 않고 척추 마사지가 되도록 부드럽게 연속적으로 수행합니다.",10,"Inhale back, Exhale forward",Jay Grimes ‘Massage your spine’
6,싱글 레그 스트레치,Single Leg Stretch,"복직근, 장요근, 코어-사지 연계",고관절 굴곡근,"1. 준비: 등을 대고 누워 머리, 목, 어깨를 들어 올리고 컬업 자세를 유지합니다. 양 무릎을 가슴 쪽으로 당깁니다. 2. 시작: 한 손은 무릎, 반대 손은 발목을 잡고 무릎을 가슴 쪽으로 당깁니다. 반대 다리는 45도로 길게 뻗습니다. 3. 교대: 숨을 내쉬면서 복부의 긴장을 유지하며 다리와 손의 위치를 동시에 빠르게 교대합니다. 4. 집중: 상체가 흔들리거나 내려가지 않도록 복직근과 경추 굴곡근의 수축을 유지하고, 뻗는 다리의 높이를 일정하게 유지합니다.",10+10,"Inhale switch, Exhale pull",Romana’s Contrology Mat
7,더블 레그 스트레치,Double Leg Stretch,"복직근, 복횡근, 견갑 안정성",고관절 굴곡근,"1. 준비: 싱글 레그 스트레치와 동일하게 컬업 자세에서 양손으로 발목을 잡고 무릎을 가슴 쪽으로 당깁니다. 2. 뻗기: 숨을 들이마시며 팔을 머리 위로, 다리는 45도로 동시에 길게 뻗습니다. 복부의 긴장을 유지하여 허리가 뜨지 않도록 합니다. 3. 끌어오기: 숨을 내쉬며 팔을 크게 원을 그리며 양손으로 다시 발목을 잡아 무릎을 가슴 쪽으로 끌어당깁니다 (Hug). 4. 주의: 팔과 다리를 뻗을 때 상체의 컬업 자세가 무너지지 않도록 복횡근을 사용하여 코어를 안으로 조여줍니다.",10,"Inhale reach, Exhale hug",Return to Life p.46
8,스파인 스트레치 포워드,Spine Stretch Forward,"복직근, 척추 기립근, 햄스트링",요추 기립근,"1. 준비: 바닥에 곧게 앉아 다리를 어깨너비보다 넓게 벌리고 폅니다. 발끝은 천장으로 당기고(Dorsiflexion) 팔은 앞으로 나란히 폅니다. 2. 말아 뻗기: 숨을 내쉬며 턱을 가슴 쪽으로 당겨 머리부터 숙이고, 복부를 깊게 수축하여 척추를 C 커브로 앞으로 멀리 뻗어 나갑니다. 손끝이 발끝보다 멀리 가도록 합니다. 3. 세우기: 숨을 들이마시며 요추부터 흉추, 경추 순으로 척추를 하나씩 쌓아 다시 곧게 앉은 자세로 돌아옵니다. 4. 집중: 고관절이 아닌 척추의 굴곡과 복부의 힘으로 내려가는 것에 집중하여 척추의 유연성을 기릅니다.",6,"Exhale forward, Inhale stack up",Kathryn Ross-Nash 2021
9,로커 윗 오픈 레그,Rocker with Open Legs,"복직근, 대둔근, 햄스트링",요추 기립근 (마사지),"1. 준비: 무릎을 굽혀 앉아 다리를 벌리고 손으로 발목 안쪽 또는 바깥쪽을 잡습니다. 다리는 곧게 펴서 V자 모양을 만들고, C 커브를 유지합니다. 2. 뒤로 굴러가기: 숨을 들이마시며 C 커브를 유지한 채 등 뒤로 굴러갑니다. 3. 앞으로 올라오기: 숨을 내쉬며 복부의 힘으로 다시 앞으로 굴러와 V자 모양을 유지하며 균형을 잡습니다. 4. 주의: 다리가 흔들리거나 척추의 C 커브가 깨지지 않도록 햄스트링과 복부의 협응을 사용합니다.",4,"Inhale back, Exhale forward",Joseph Pilates Original
10,코크스크루,Corkscrew,"복사근, 외복사근, 중둔근",요방형근,1. 준비: 등을 대고 누워 팔은 몸통 옆에 둡니다. 다리를 90도로 들어 올려 붙입니다. 2. 원 그리기: 숨을 내쉬며 복사근의 힘을 사용하여 다리를 한쪽 방향으로 (예: 오른쪽) 원을 그리며 내려 보냅니다. 이때 골반이 살짝 (엉덩이 한쪽이) 바닥에서 떨어집니다. 3. 중심 통과: 다리가 원을 그리며 아래쪽 중심을 지나 반대쪽으로 이동합니다. 4. 돌아오기: 다시 복부의 힘으로 골반을 제어하며 다리를 중앙의 90도 위치로 돌아오게 합니다. 5. 방향 교대: 다음 번에는 반대 방향으로 원을 그립니다. 6. 집중: 다리의 회전보다 복부의 회전과 골반의 통제력에 집중합니다.,3+3,Exhale circle,Return to Life p.52
