Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
1,스파인 코렉터 브리딩,Spine Corrector Breathing,"복횡근, 횡격막, 골반저근",흉곽 측면,"1. 준비: 스파인 코렉터의 아치(Barrel) 위에 등을 대고 누워, 무릎을 구부리고 발을 바닥에 둡니다. 양손으로 **손잡이(Handles)**를 잡거나 체어를 안정시킵니다. 2. 들이마시기: 숨을 깊게 들이마시며 갈비뼈를 옆으로, 뒤로, 넓게 확장하여 흉곽 전체를 늘립니다. 아치에 기대어 흉추 신전을 보조합니다. 3. 내쉬기: 숨을 천천히 내쉬며 복횡근을 사용하여 갈비뼈를 조이고 배꼽을 척추 쪽으로 깊이 끌어당깁니다. 4. 집중: 호흡의 깊이에 집중하며, 흉곽의 움직임을 느껴 횡격막과 복부의 연결을 강화합니다.",None,6 breaths,"Inhale wide, Exhale narrow","Joseph Pilates Archive 1938, Jay Grimes 2024"
2,스파인 코렉터 롤 다운,Roll Down on Spine Corrector,"복직근, 복사근","요추 기립근, 햄스트링","1. 준비: 스파인 코렉터의 리듬 파트(Rhythm Part) 위에 앉아 무릎을 구부리거나 다리를 앞으로 폅니다. 양손은 허벅지나 머리 뒤에 둡니다. 2. 말아 내리기: 숨을 내쉬며 복부를 깊게 수축하여 꼬리뼈부터 C 커브로 척추를 하나씩 말아 아치 위에 닿게 합니다. 3. 쌓아 올라오기: 숨을 들이마시며 (또는 내쉬며) 복직근과 복사근의 힘으로 흉추, 요추 순으로 척추를 하나씩 쌓아 다시 곧게 앉은 자세로 돌아옵니다. 4. 주의: 내려갈 때 몸이 뒤로 떨어지지 않도록 복부의 통제력을 사용하고, 척추의 부드러운 분절에 집중합니다.",None,6,"Exhale roll down, Inhale stack",Romana's Spine Corrector 1999
3,스파인 스트레치 포워드,Spine Stretch Forward,"복직근, 척추 기립근",요추 기립근,"1. 준비: 스파인 코렉터의 리듬 파트 위에 앉아 다리를 벌리고 앞으로 폅니다. 발끝은 몸 쪽으로 당깁니다. 2. 말아 뻗기: 숨을 내쉬며 경추부터 흉추, 요추 순으로 척추를 둥글게 말아 (C 커브) 앞으로 멀리 뻗습니다. 복부를 깊게 끌어당겨 척추의 굴곡을 최대화합니다. 3. 세우기: 숨을 들이마시며 요추부터 흉추, 경추 순으로 척추를 하나씩 쌓아 다시 곧게 앉은 자세로 돌아옵니다. 4. 집중: 고관절이 아닌 척추의 움직임에 집중하고, 햄스트링의 스트레칭도 함께 느낍니다.",None,6,"Exhale forward, Inhale up",Return to Life p.88
4,몽키 스파인 코렉터,Monkey on Spine Corrector,"복직근, 햄스트링, 종아리",요추 기립근,"1. 준비: 스파인 코렉터 위에 엎드려 누워 발끝을 아치(Barrel)의 가장 높은 부분에 걸치고 손은 손잡이를 잡습니다. 2. 내려가기: 숨을 내쉬며 복부를 수축하고 엉덩이를 뒤로 빼서 꼬리뼈가 바닥 쪽으로 향하게 합니다. 이때 햄스트링과 종아리가 깊게 늘어납니다. 3. 올라오기: 숨을 들이마시며 복부의 힘으로 엉덩이를 다시 끌어 올려 원래 자세로 돌아옵니다. 4. 주의: 허리가 꺾이지 않도록 복부의 긴장을 유지하며 척추를 길게 늘립니다.",None,6,"Exhale down, Inhale up",Jay Grimes 'Stretch your spine'
5,스완 스파인 코렉터,Swan on Spine Corrector,"요추 기립근, 대둔근, 후면 체인",복직근,"1. 준비: 스파인 코렉터 위에 엎드려 누워 아치에 골반이 걸치도록 합니다. 양손은 머리 뒤에 둡니다. 2. 들어올리기: 숨을 들이마시며 **등 근육(요추 기립근)**의 힘으로 흉추를 신전시켜 상체를 들어 올립니다(Swan 자세). 아치의 도움으로 척추 신전이 용이합니다. 3. 내려오기: 숨을 내쉬며 복부의 통제력을 사용해 천천히 원래 자세로 돌아옵니다. 4. 3단계: 상체를 부분적으로, 중간 높이, 최대한 높이 들어 올리는 3단계로 나누어 수행할 수 있습니다. 5. 집중: 허리가 아닌 등 근육의 수축과 둔근의 사용에 집중합니다.",None,6,"Inhale lift, Exhale lower",Romana's Swan Series
6,티저 스파인 코렉터,Teaser on Spine Corrector,"복직근, 장요근, 코어",요추 기립근,"1. 준비: 스파인 코렉터의 아치(Barrel) 위에 등을 기대고 앉아 무릎을 구부립니다. 손은 머리 뒤에 두거나 앞으로 뻗습니다. 2. V자 만들기: 숨을 내쉬며 복직근과 장요근의 힘으로 상체를 살짝 들어 올림과 동시에 다리를 45도 V자 모양으로 펴서 균형을 잡습니다. 3. 균형 유지: 숨을 들이마시며 자세를 잠시 유지합니다. 4. 돌아오기: 숨을 내쉬며 복부의 통제력으로 천천히 아치에 기대는 자세로 돌아옵니다. 5. 주의: 아치에 기대어 척추를 길게 늘린 상태에서 복부의 힘으로 몸통을 들어 올립니다.",None,3–6,Exhale roll up,Joseph Pilates Original
7,숄더 브릿지,Shoulder Bridge,"대둔근, 햄스트링, 코어",고관절 굴곡근,"1. 준비: 스파인 코렉터의 아치 위에 발뒤꿈치를 올리고 누워 무릎을 90도로 구부립니다. 손은 바닥에 둡니다. 2. 브릿지: 숨을 들이마시며 둔근과 햄스트링의 힘으로 골반을 들어 올려 어깨-엉덩이-무릎이 일직선이 되도록 합니다. 3. 다리 뻗기: 숨을 내쉬며 한쪽 다리를 천장으로 뻗고, 숨을 들이마시며 다시 내립니다. (양발 번갈아 수행) 4. 내려오기: 동작 완료 후 척추를 하나씩 말아 바닥으로 내려 놓습니다. 5. 집중: 골반이 내려가거나 흔들리지 않도록 둔근을 강하게 유지합니다.",None,3+3,"Inhale lift, Exhale kick",Vintage Pilates
8,레그 서클 스파인 코렉터,Leg Circles on Spine Corrector,"중둔근, 복직근, 코어 안정성",요방형근,"1. 준비: 스파인 코렉터의 리듬 파트 위에 등을 대고 누워, 한쪽 다리를 천장으로 곧게 뻗습니다. 2. 원 그리기: 숨을 들이마시며 코어의 안정성을 유지한 채 다리를 크게 원을 그리며 움직입니다. 3. 골반 고정: 동작 내내 골반이 흔들리지 않도록 복부와 둔근을 사용하여 몸통을 바닥에 단단히 고정합니다. 4. 집중: 움직임의 크기보다 몸통의 안정성에 중점을 둡니다.",None,8+8,"Inhale open, Exhale together",Romana 2000
9,사이드 킥 스파인 코렉터,Side Kick on Spine Corrector,"중둔근, 복사근",고관절 내전근,"1. 준비: 스파인 코렉터 위에 옆으로 누워 허리가 아치에 기대도록 합니다. 아래쪽 팔로 머리를 지지하고 위쪽 다리를 골반 높이로 듭니다. 2. 앞뒤 스윙: 숨을 들이마시며 다리를 앞으로 킥킥 차고, 숨을 내쉬며 둔근을 사용하여 다리를 뒤로 길게 뻗습니다. 3. 주의: 몸통이 앞뒤로 흔들리거나 골반이 움직이지 않도록 복사근과 중둔근을 사용하여 몸통을 강하게 고정합니다.",None,10+10,"Inhale forward, Exhale back",Jay Grimes Side Series
10,머메이드 스파인 코렉터,Mermaid on Spine Corrector,"복사근, 요방형근, 흉곽",측면 광배근,"1. 준비: 스파인 코렉터의 리듬 파트 위에 옆으로 앉아(Mermaid 자세), 아래쪽 손은 바닥을 짚고 위쪽 팔은 머리 위로 듭니다. 2. 측면 굴곡: 숨을 들이마시며 아치에 기대어 상체를 옆으로 굽힙니다 (Side Bend). 3. 늘이기: 숨을 내쉬며 위쪽 팔을 머리 위로 길게 뻗어 측면을 최대한 늘립니다. 4. 돌아오기: 숨을 들이마시며 복사근의 힘으로 몸통을 세워 돌아옵니다. 5. 집중: 아치에 기대어 척추의 측면 굴곡을 극대화하며 측면 광배근을 스트레칭합니다.",None,5+5,"Inhale side, Exhale reach",Peak Pilates Barrel
