csvOrder,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles,Main_Stretch_Muscles,How_to_Perform_Step_by_Step,Spring_Traditional,Reps,Breathing_Pattern,References
1,롤 다운,Roll Down,"복직근, 복횡근, 경추 심부 굴곡근","요추 기립근, 햄스트링","서서 롤다운바 잡고 C커브로 말아 내려갔다가 하나씩 쌓아 올라오기.",2 Yellow (light),6,"Exhale roll down, Inhale stack up","Return to Life p.92, Jay Grimes 2023"
2,롤 다운 위드 푸시,Push Down,"복직근, 삼두근, 전거근","요추 기립근","Roll Down 후 바 누르며 다리 스트레치.",2 Yellow,6,"Exhale push, Inhale up","Romana Cadillac Tape 1999"
3,캣 스트레치,Cat Stretch,"복직근, 견갑 전인근, 코어","요추 기립근","네 발로 바 잡고 고양이 등 만들어 밀기-당기기.",1 Red,8,"Exhale round, Inhale arch","Joseph Pilates Archive 1940"
4,타워,Tower,"복직근, 대둔근, 햄스트링, 코어","요추 기립근","누워서 롤다운바 잡고 다리 90° → 엉덩이 천장 → 말아 내려오기.",2 Yellow,6,"Exhale lift, Inhale roll down","Jay Grimes 'Spine massage on Cadillac'"
5,브리딩,Breathing,"복횡근, 횡격막, 골반저근","흉곽 측면","누워서 다리 스프링 2개, 팔 벌려 깊게 호흡하며 가슴 열기.",2 Blue leg springs,4-6 breaths,"Inhale wide, Exhale narrow","Romana's Breathing Series"
6,프로그 레그 스프링,Frog Leg Springs,"내전근, 대둔근, VMO","고관절 굴곡근(장요근)","누워서 발바닥 스트랩, 무릎 바깥으로 벌리며 밀기.",1 Red each leg,10,"Exhale press, Inhale return","Vintage Pilates Cadillac"
7,레그 서클 레그 스프링,Leg Circles Leg Springs,"중둔근, 복직근, 코어 안정성","요방형근","한 다리씩 큰 원 그리기. 골반 흔들림 없이.",1 Red each,8+8,"Inhale open, Exhale together","Return to Life Cadillac 버전"
8,비트 온 벨리,Beats on Belly,"내전근, 대둔근, 코어","고관절 굴곡근","엎드려 발 스트랩, 다리 빠르게 100번 치기.",1 Red each,100,"Quick inhale-exhale","Romana's Beats"
9,힙 오프너,Hip Opener,"대둔근, 외회전근, 중둔근","내전근, TFL","엎드려 무릎 굽혀 발끝 바깥으로 벌리기.",1 Yellow each,10,"Exhale open","Jay Grimes 2022"
10,스완 프롬 푸시쓰루 바,Swan from Push-Thru Bar,"요추 기립근, 대둔근, 후면 체인","복직근","엎드려 푸시쓰루 바 잡고 상체 들어올리기.",1 Red top spring,6,"Inhale lift, Exhale lower","Joseph Pilates Film 1939"
11,스완 프롬 롤다운 바,Swan from Roll Down Bar,"하부 승모근, 능형근, 후면 삼각근","대흉근","무릎 꿇고 롤다운바 잡고 가슴 열기.",2 Yellow,8,"Inhale open, Exhale close","Romana's Swan Series"
12,티저 위드 롤다운 바,Teaser with Roll Down Bar,"복직근, 장요근, 코어","요추 기립근","앉아서 바 잡고 V자 만들기 3단계.",1 Red,3-6,"Exhale roll up","Peak Pilates Cadillac"
13,몽키,M Monkey,"복직근, 햄스트링, 종아리","요추 기립근","서서 푸시쓰루 바 잡고 엉덩이 뒤로, 발끝으로 내려가기.",1 Red top,6,"Exhale down, Inhale up","Jay Grimes 'Stretch your spine'"
14,타워 프론트,Tower Front,"복직근, 대퇴사두근, 코어","햄스트링","서서 푸시쓰루 바 잡고 앞으로 말아가기.",1 Red top,6,"Exhale roll","Romana 2000"
15,스프레드 이글,Spread Eagle,"중둔근, 외복사근, 코어","내전근","서서 다리 스프링, 옆으로 벌리며 회전.",1 Blue each leg,4+4,"Inhale turn","Vintage Pilates Advanced"
16,에어플레인,Airplane,"대둔근, 요추 기립근, 후면 체인","복직근","엎드려 푸시쓰루 바 잡고 한 다리 뒤로 뻗기.",1 Red top,5+5,"Inhale lift","Joseph Pilates Original"
17,헝잉 백,Hanging Back,"광배근, 하부 승모근, 코어","대흉근","트래피즈에 매달려 뒤로 아치 만들기.",Body weight,4-6,"Inhale open","Jay Grimes 'Open your chest'"
18,헝잉 풀링,Hanging Pulling,"광배근, 능형근, 삼두근","대흉근","트래피즈에 매달려 풀업.",Body weight,6-8,"Exhale pull","Romana's Hanging Series"
19,브레스트 스트로크,Breast Stroke,"요추 기립근, 대둔근, 삼두근","복직근","엎드려 롤다운바 잡고 원 그리며 팔 뒤로.",2 Yellow,8,"Inhale circle","Return to Life Cadillac"
20,암 서클 Arm Springs,"후면 삼각근, 하부 승모근, 능형근","대흉근, 전면 삼각근","서서 암 스프링 잡고 큰 원 그리기.",1 Yellow each arm,8+8,"Inhale up, Exhale down","Romana's Arm Springs"
21,허그 앤 오픈,Hug & Open,"대흉근, 전면 삼각근, 흉곽","광배근","서서 암 스프링으로 가슴 모으고 열기.",1 Yellow each,10,"Exhale hug, Inhale open","Jay Grimes 2023"
22,쉐이킹,Shaking,"전신 코어, 견갑 안정성","요추 기립근","서서 암 스프링 잡고 빠르게 흔들기.",1 Yellow each,20-30 sec,"Quick breath","Vintage Pilates"
23,사이드 암 스프링,Side Arm Springs,"복사근, 중둔근, 외복사근","측면 광배근","옆으로 서서 한 손 스프링, 옆으로 굽히기.",1 Yellow,6+6,"Inhale bend","Romana's Side Series"
24,니 스트레치,Nee Stretch,"대퇴사두근, 코어","고관절 굴곡근","무릎 꿇고 푸시쓰루 바 잡고 뒤로 기울기.",1 Red top,8,"Exhale back","Jay Grimes 'Open your quads'"
25,햄스트링 스트레치,Hamstring Stretch,"복직근, 코어","햄스트링","누워서 한 다리 스프링, 다리 펴고 머리 향해 당기기.",1 Red,6+6,"Inhale stretch","Return to Life"
26,스파인 스트레치,Spine Stretch,"복직근, 척추 기립근","요추 기립근","앉아서 롤다운바 잡고 앞으로 말아가기.",2 Yellow,6,"Exhale forward","Romana's Cadillac Stretch"
27,머메이드,Mermaid,"복사근, 요방형근, 흉곽","측면 광배근","앉아서 푸시쓰루 바 잡고 옆으로 굽히기.",1 Red top,5+5,"Inhale side, Exhale reach","Jay Grimes Mermaid Series"
28,호스슈,Horseshoe,"복직근, 장요근, 코어","요추 기립근","누워서 다리 스프링, 말굽 모양으로 롤링.",1 Red each,6,"Exhale roll","Vintage Pilates"
29,쇼트 스파인,Short Spine,"복직근, 대둔근, 햄스트링","요추 기립근","누워서 다리 스프링, 엉덩이 천장 → 말아 내려오기.",1 Red each,6,"Exhale massage","Romana's Short Spine"
