id,posture_key,posture_ko,equipment_en,equipment_ko,exercise_en,exercise_ko,purpose,how_to_do,sets_reps,key_cues,precaution
1,Anterior Pelvic Tilt,골반 과전방경사,Spine Corrector,스파인 코렉터,Footwork - Intermediate (3-1),티저 - Intermediate (3-1),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 스파인 코렉터 위에서 티저 준비 자세로 선다.
② 수행: 호흡을 내쉬며 티저 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 10회, 템포 3-1.",3세트 x 10회,"갈비뼈 플레어 금지, 견갑 하강 유지, 호흡과 함께 부드럽게",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
2,Posterior Pelvic Tilt,골반 후방경사,Mat,매트,Footwork - Basic (3-1),브릿지 - Basic (3-1),코어 중심의 자세 안정성 향상,"① 시작자세: 매트 위에서 브릿지 준비 자세로 선다.
② 수행: 호흡을 내쉬며 브릿지 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 20회, 템포 3-1.",2세트 x 20회,"갈비뼈 플레어 금지, 호흡과 함께 부드럽게, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
3,Hyperkyphosis,흉추 과후만,Reformer,리포머,Clamshell - Basic (3-1),헌드레드 - Basic (3-1),자세 교정과 정렬 회복,"① 시작자세: 리포머 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 자세 교정과 정렬 회복에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 20회, 템포 3-1.",3세트 x 20회,"호흡과 함께 부드럽게, 갈비뼈 플레어 금지, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
4,Hyperkyphosis,흉추 과후만,Mat,매트,Plank - Basic (Pulse x10),헌드레드 - Basic (Pulse x10),가동성과 근력의 균형 향상,"① 시작자세: 매트 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 10회, 템포 Pulse x10.",2세트 x 10회,"갈비뼈 플레어 금지, 호흡과 함께 부드럽게, 견갑 하강 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
5,Genu Valgum,X자 무릎,Chair,체어,Side Kick - Advanced (3-1),헌드레드 - Advanced (3-1),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 체어 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 15회, 템포 3-1.",4세트 x 15회,"견갑 하강 유지, 갈비뼈 플레어 금지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
6,Forward Head Posture,거북목,Cadillac,캐딜락,Hundred - Advanced (3-1),헌드레드 - Advanced (3-1),코어 중심의 자세 안정성 향상,"① 시작자세: 캐딜락 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 15회, 템포 3-1.",2세트 x 15회,"복부 30% 수축, 골반 중립 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
7,Foot Pronation,과도한 회내,Cadillac,캐딜락,Dead Bug - Intermediate (2-2),헌드레드 - Intermediate (2-2),가동성과 근력의 균형 향상,"① 시작자세: 캐딜락 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 2-2.",4세트 x 12회,"호흡과 함께 부드럽게, 골반 중립 유지, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
8,Foot Supination,과도한 회외,Spine Corrector,스파인 코렉터,Footwork - Advanced (Pulse x10),클램쉘 - Advanced (Pulse x10),코어 중심의 자세 안정성 향상,"① 시작자세: 스파인 코렉터 위에서 클램쉘 준비 자세로 선다.
② 수행: 호흡을 내쉬며 클램쉘 동작을 실시하여 코어 중심의 자세 안정성 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 12회, 템포 Pulse x10.",4세트 x 12회,"골반 중립 유지, 복부 30% 수축, 갈비뼈 플레어 금지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
9,Pelvic Obliquity,골반 비틀림,Spine Corrector,스파인 코렉터,Roll Up - Basic (3-1),플랭크 - Basic (3-1),과긴장된 근육 이완과 약화근 강화,"① 시작자세: 스파인 코렉터 위에서 플랭크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 플랭크 동작을 실시하여 과긴장된 근육 이완과 약화근 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 12회, 템포 3-1.",2세트 x 12회,"호흡과 함께 부드럽게, 골반 중립 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
10,Forward Head Posture,거북목,Mat,매트,Plank - Advanced (Isometric 5s),롤업 - Advanced (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 매트 위에서 롤업 준비 자세로 선다.
② 수행: 호흡을 내쉬며 롤업 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 12회, 템포 Isometric 5s.",2세트 x 12회,"복부 30% 수축, 골반 중립 유지, 좌우 균형 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
11,Foot Supination,과도한 회외,Reformer,리포머,Swan - Intermediate (3-1),헌드레드 - Intermediate (3-1),심부 안정근 활성화 및 신체 중심 강화,"① 시작자세: 리포머 위에서 헌드레드 준비 자세로 선다.
② 수행: 호흡을 내쉬며 헌드레드 동작을 실시하여 심부 안정근 활성화 및 신체 중심 강화에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 2세트 20회, 템포 3-1.",2세트 x 20회,"골반 중립 유지, 견갑 하강 유지, 복부 30% 수축",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
12,Hyperlordosis,요추 과전만,Mat,매트,Hundred - Intermediate (Pulse x10),사이드킥 - Intermediate (Pulse x10),가동성과 근력의 균형 향상,"① 시작자세: 매트 위에서 사이드킥 준비 자세로 선다.
② 수행: 호흡을 내쉬며 사이드킥 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 3세트 15회, 템포 Pulse x10.",3세트 x 15회,"복부 30% 수축, 갈비뼈 플레어 금지, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
13,Genu Varum,O자 무릎,Spine Corrector,스파인 코렉터,Teaser - Advanced (Isometric 5s),풋워크 - Advanced (Isometric 5s),가동성과 근력의 균형 향상,"① 시작자세: 스파인 코렉터 위에서 풋워크 준비 자세로 선다.
② 수행: 호흡을 내쉬며 풋워크 동작을 실시하여 가동성과 근력의 균형 향상에 집중한다.
③ 주의: 허리 과신전 금지, 견갑 하강, 복부 수축 유지.
④ 반복: 4세트 20회, 템포 Isometric 5s.",4세트 x 20회,"복부 30% 수축, 갈비뼈 플레어 금지, 골반 중립 유지",요통이나 경추 통증이 있는 경우 범위 조절 및 전문가 지도하 실시
