Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles,Main_Stretch_Muscles,How_to_Perform_Step_by_Step_FULL_CLASSICAL,Reps,Breathing_Pattern,Setup_Position,Common_Mistakes_to_Avoid,Classical_Cues_by_Jay_Grimes_Romana,References
1,더 헌드레드,The Hundred,"복직근, 복횡근, 경추 심부 굴곡근, 내전근, 장요근, 골반저근","고관절 굴곡근(장요근·대퇴직근), 흉곽 측면, 상부 승모근","1. 똑바로 누워 양팔 머리 뒤로 길게 두고 다리를 테이블탑.  
2. 호흡 들이쉬며 팔을 천장→바닥 옆으로 내려 놓고 다리를 45°로 뻗는다(고급자 30°).  
3. 내쉬며 머리·어깨·상부 등 말아 올려 시선 배꼍지, 허리는 바닥에 단단히.  
4. 팔을 매트와 평행하게 뻗어 손바닥을 아래로 향하게 하고, 어깨에서 리드하며 위아래로 100번 펌핑.  
5. 5번 펌핑 동안 코로 흡입, 다음 5번은 입으로 길게 호흡.  
6. 다리가 흔들리면 무릎을 살짝 굽히고, 목 긴장이 느껴지면 머리를 잠깐 내려 휴식 후 재개.  
7. 100회가 끝나면 무릎을 가슴으로 끌어안고 척추 길게 이완.","100 pumps (10세트×10)","5회 흡입 + 5회 호흡 ×10","Supine, legs tabletop → extended 45°, arms overhead → beside ribs","허리 뜨기, 호흡 멈춤, 팔만 흔드는 동작, 목 과사용","Jay: “Pump from the ribs, not the wrists.” / Romana: “Navel to spine, eyes on your stomach!”","Return to Life p.34–35, Romana 1998 Mat Tape, Jay Grimes ‘The Work’ 2022"
2,롤 업,Roll Up,"복직근 상·하부, 복사근, 장요근, 경추 심부 굴곡근","요추 기립근, 햄스트링, 종아리","1. 다리를 모아 길게 뻗고 발끝 플렉스, 팔은 귀 옆으로 길게.  
2. 숨 들이쉬며 팔을 천장으로 가져와 귀 앞에 둔다.  
3. 내쉬며 턱→목→흉추 순서로 말아 올려 C커브를 만들고 손끝이 발끝을 향해 미끄러지게.  
4. 허리 뒤쪽을 최대한 길게 늘인 채 앞으로 깊게 접힌다.  
5. 다시 들이쉬며 척추를 한마디씩 세워 앉고, 내쉬며 꼬리뼈부터 차례로 내려가 처음 자세 복귀.  
6. 6회 동안 정지 없이 흐름 유지, 다리가 들리지 않도록 내전근을 조여 둔다.",6,"준비 흡입 – 올라갈 때 긴 엑셀 – 정점에서 짧은 흡입 – 내려갈 때 한 번에 엑셀","Supine, legs long, arms overhead","다리가 뜨는 것, 허리를 꺾는 것, 머리부터 들기","Jay: “It’s one breath up, one breath down.” / Romana: “Peel your spine like tape off a roll.”","Return to Life p.36–37, Kathryn Ross-Nash ‘Red Thread’ p.82"
3,롤 오버,Roll Over,"복직근, 대둔근, 햄스트링, 골반저근","요추 기립근, 고관절 굴곡근, 흉곽","1. 다리를 90°로 세우고 팔은 매트에 길게 눌러 고정.  
2. 흡입하며 다리를 머리 위로 보내 골반을 부드럽게 들어 올린다.  
3. 내쉬며 발끝을 머리 넘어 바닥을 스치듯 터치, 목은 길게.  
4. 발을 붙인 채 열었다 닫으며 척추를 하나씩 길게 내려온다.  
5. 반대 방향(닫은 상태로 넘기고 열며 내려오기)도 동일하게 수행.  
6. 허리·목에 힘을 주지 말고 복부와 햄스트링으로 컨트롤.",6 (3+3),"열 때 흡입 – 넘길 때 호흡 – 닫으며 호흡","Supine, legs together 90°, arms long","팔로 밀어 뒤집기, 목을 조이기, 다리 들뜨기","Jay: “Massage, don’t flip.” / Romana: “Open the legs like a book, close like prayer hands.”","Return to Life p.38–39, Vintage Pilates ‘Roll Over’"
4,원 레그 서클,One Leg Circle,"복직근, 중둔근, 내전근, 복사근, 코어 안정근","고관절 굴곡근, 햄스트링, TFL","1. 한 다리를 천장 90°로 뻗고 반대 다리는 매트에 눌러 길게.  
2. 골반이 흔들리지 않도록 코어를 깊이 끌어올린다.  
3. 흡입하며 다리를 코 쪽으로 끌어 교차, 위로 올라갔다가 바깥쪽→아래로 큰 원.  
4. 내쉬며 반대 방향으로 원을 그려 중심 복귀.  
5. 5회 후 방향을 바꾸고, 다리를 바꿔 반복.  
6. 발은 연필, 골반은 종이라는 이미지를 유지.",5+5 each,"교차·상승 흡입 – 외측·하강 호흡","Supine, one leg to ceiling, other long on mat","골반이 들리거나 다리 흔들림, 허리 과신전","Jay: “The leg draws, the hip is steady paper.” / Romana: “Circle the ceiling, not the floor.”","Return to Life p.40–41, Jay Grimes Mat 2020"
5,롤링 라이크 어 볼,Rolling Like a Ball,"복직근, 척추 기립근, 복횡근, 골반저근","요추 기립근(마사지), 흉곽","1. 앉아서 발목을 잡고 무릎을 가슴에 붙여 C커브.  
2. 꼬리뼈를 가볍게 매트에 두고 복부를 깊이 끌어당겨 균형.  
3. 흡입하며 뒤로 굴러 어깨뼈까지 닿고, 머리는 매트에 닿기 직전 멈춤.  
4. 내쉬며 복부를 말아 앞으로 굴러와 같은 포인트에 정지.  
5. 다리가 벌어지거나 멈추지 않도록 10회 리듬 있게.  
6. 마지막에는 조용히 정지하여 코어 컨트롤 확인.",10,"뒤로 흡입 – 앞으로 호흡","Seated, knees hugged, C-curve","무릎 벌어짐, 목 힘, 허리를 매트에 내리찍기","Jay: “Stay tucked, stay in your ball.” / Romana: “Roll like a ball, not like a rock.”","Return to Life p.42, Romana ‘Rolling Like a Ball’"
6,싱글 레그 스트레치,Single Leg Stretch,"복직근, 장요근, 코어-사지 연계, 골반 안정근","고관절 굴곡근, 햄스트링","1. 다리를 테이블탑, 상체를 들어 C커브 유지.  
2. 한 무릎을 가슴쪽으로 당기고 같은 손으로 발목, 반대 손은 무릎.  
3. 다른 다리는 45°로 길게 뻗되 허리가 뜨지 않게 복부를 붙인다.  
4. 호흡과 함께 다리를 교대, 당길 때 갈비뼈까지 끌어온다는 느낌.  
5. 골반이 흔들리지 않도록 허벅지 안쪽을 모아둔다.  
6. 10세트 후 무릎을 함께 끌어안아 정리.",10+10,"교대 시 흡입 – 당길 때 호흡","Supine, head lifted, one knee in","허리 뜨기, 다리 흔들림, 목 긴장","Jay: “It’s one long exhale, switch on the inhale.” / Romana: “Reach long, pull strong.”","Return to Life p.44–45, Kathryn Ross-Nash p.112"
7,더블 레그 스트레치,Double Leg Stretch,"복직근, 복횡근, 견갑 안정성, 장요근","고관절 굴곡근, 흉곽","1. 무릎을 안고 상체를 말아올려 다리와 팔이 작게 원을 이룸.  
2. 숨 들이쉬며 팔을 귀 옆으로 보내고 다리를 45°로 길게 뻗는다.  
3. 내쉬며 팔이 둥근 원을 그리며 내려오고 무릎을 다시 가슴으로 끌어당김.  
4. 허리, 갈비뼈, 꼬리뼈가 매트에 붙어 있어야 한다.  
5. 10회 연속으로 흐름 유지, 팔과 다리가 동일한 속도로 움직이도록 훈련.",10,"뻗을 때 흡입 – 끌어안을 때 호흡","Supine, head lifted, knees to chest","허리 뜨기, 팔만 움직임, 호흡 멈춤","Jay: “Reach to the ocean, hug to your heart.” / Romana: “Long arms, long legs, short waist.”","Return to Life p.46–47"
8,스파인 스트레치 포워드,Spine Stretch Forward,"복직근, 척추 기립근, 햄스트링, 복사근","요추 기립근, 흉곽","1. 다리를 어깨보다 넓게 벌리고 발끝 플렉스, 팔은 어깨높이.  
2. 머리 꼭대기를 천장으로 밀어 올린 뒤 숨 내쉬며 척추를 마디마다 굴려 앞으로.  
3. 손끝이 발끝을 스치도록 하지만 어깨는 귀와 멀게 유지.  
4. 들이쉬며 복부를 끌어당겨 척추를 위로 다시 쌓아 올린다.  
5. 6회 동안 키를 늘린다는 느낌을 유지, 다리가 흔들리면 쿠션으로 보조.",6,"앞으로 큰 호흡 – 올라올 때 흡입","Seated, legs wide, arms forward","허리를 접지 않고 상체만 숙이기, 어깨 말림","Jay: “It’s a stretch, not a crunch.” / Romana: “Lift up to go forward.”","Return to Life p.48–49"
9,로커 윗 오픈 레그,Rocker with Open Legs,"복직근, 대둔근, 햄스트링, 코어 안정성","요추 기립근(마사지), 흉곽","1. 다리를 어깨너비 이상으로 벌리고 발목을 잡아 균형.  
2. 복부를 깊이 끌어당겨 C커브를 유지한 채 흡입하며 뒤로 굴러간다.  
3. 어깨뼈에서 멈추고 내쉬며 같은 길을 타고 다시 올라와 균형.  
4. 다리를 뻗은 상태를 유지하며 4회 연속, 마지막엔 다리를 모아 시저스로 전환 가능.",4,"뒤로 흡입 – 앞으로 호흡","Seated, legs open and held","다리 닫힘, 허리 펴짐, 목 충격","Jay: “Keep the legs as two towers.” / Romana: “Stay round like a wheel.”","Return to Life p.50"
10,코크스크루,Corkscrew,"복사근, 외복사근, 중둔근, 장요근, 코어 회전","요방형근, 흉곽","1. 다리를 90°로 올리고 팔은 T자로 눌러 견고한 기저.  
2. 숨 들이쉬며 다리를 한쪽으로 떨어뜨리며 원을 그리기 시작.  
3. 내쉬며 반대쪽으로 올라오며 복부와 허리를 매트에 붙인다.  
4. 골반을 살짝 끌어올려 허리 주위를 마사지하며 3회씩 방향 교대.  
5. 목과 어깨 긴장을 풀고 복부의 나선 움직임을 느낀다.",3+3,"원 그릴 때 호흡 – 중심 복귀 시 흡입","Supine, legs together at 90°, arms in T","어깨 들림, 다리 벌어짐, 허리 붕 뜸","Jay: “Twist from the waist, not the shoulders.” / Romana: “Draw a perfect circle with your legs.”","Return to Life p.52–53"
