posture_key,posture_ko,region,exercise_key,tight_primary,weak_primary,stretch_focus,strengthen_focus,mobility_focus,recommended_summary,clinical_notes
"Anterior Pelvic Tilt","골반 전방경사","골반 (Pelvis)","Anterior_Pelvic_Tilt","장요근 (Iliopsoas), 대퇴직근 (Rectus Femoris), 요추기립근 (Erector Spinae)","복직근 (Rectus Abdominis), 복횡근 (Transversus Abdominis), 대둔근 (Gluteus Maximus)","장요근, 대퇴직근, 요추기립근","복횡근, 대둔근, 햄스트링","고관절 신전, 요추 안정화","스트레칭: 장요근, 대퇴직근, 요추기립근 | 강화: 복횡근, 대둔근, 햄스트링 | 가동성: 고관절 신전, 요추 안정화","Lower Crossed Syndrome 핵심, 요추 부담 증가"
"Posterior Pelvic Tilt","골반 후방경사","골반 (Pelvis)","Posterior_Pelvic_Tilt","햄스트링 (Hamstrings), 복직근 (Rectus Abdominis)","장요근 (Iliopsoas), 요추기립근 (Erector Spinae), 대퇴직근 (Rectus Femoris)","햄스트링, 복직근","장요근, 요추기립근, 둔근","요추 신전, 고관절 굴곡 가동성","스트레칭: 햄스트링, 복직근 | 강화: 장요근, 요추기립근, 둔근 | 가동성: 요추 신전, 고관절 굴곡 가동성","Flat-back 연관, 분절운동성 저하"
"Forward Head Posture","전방머리자세","경추 (Cervical)","Forward_Head_Posture","흉쇄유돌근 (SCM), 상부승모 (Upper Trapezius), 견갑거근 (Levator Scapulae)","심부경부굴근 (Deep Neck Flexors)","소흉근, SCM, 상부승모","심부경부굴근, 하부승모, 전거근","경추/흉추 신전, 흉곽 확장","스트레칭: 소흉근, SCM, 상부승모 | 강화: 심부경부굴근, 하부승모, 전거근 | 가동성: 경추/흉추 신전, 흉곽 확장","TMD/편두통/TOS 연관"
"Rounded Shoulders","라운드숄더","견갑/어깨 (Scapula/Shoulder)","Rounded_Shoulders","대흉근 (Pectoralis Major), 소흉근 (Pectoralis Minor), 상부승모 (Upper Trapezius)","하부승모 (Lower Trapezius), 능형근 (Rhomboids), 전거근 (Serratus Anterior)","소흉근, 대흉근","하부승모, 능형근, 전거근","흉추 신전, 견갑 후인/하강","스트레칭: 소흉근, 대흉근 | 강화: 하부승모, 능형근, 전거근 | 가동성: 흉추 신전, 견갑 후인/하강","충돌/불안정 위험 증가"
"Thoracic Hyperkyphosis","흉추 과후만","흉추 (Thoracic)","Thoracic_Hyperkyphosis","복직근 (Rectus Abdominis), 소흉근 (Pectoralis Minor)","흉추기립근 (Thoracic Erectors), 하부승모 (Lower Trapezius)","소흉근, 복직근","흉추기립근, 하부승모","흉추 신전, 흉곽 확장","스트레칭: 소흉근, 복직근 | 강화: 흉추기립근, 하부승모 | 가동성: 흉추 신전, 흉곽 확장","폐활량 저하/압박골절 감별"
"Lumbar Hyperlordosis","요추 과전만","요추 (Lumbar)","Lumbar_Hyperlordosis","장요근 (Iliopsoas), 요추기립근 (Erector Spinae)","복횡근 (Transversus Abdominis), 대둔근 (Gluteus Maximus)","장요근, 요추기립근","복부 코어, 둔근","요추-골반 리듬","스트레칭: 장요근, 요추기립근 | 강화: 복부 코어, 둔근 | 가동성: 요추-골반 리듬","전방전위증 감별"
"Flat Back","평배","척추 (Spine)","Flat_Back","햄스트링 (Hamstrings), 복직근 (Rectus Abdominis)","장요근 (Iliopsoas), 요추기립근 (Erector Spinae), 둔근 (Gluteals)","햄스트링, 복직근","요추기립근, 둔근, 장요근","요추 신전, 고관절 굴/신전","스트레칭: 햄스트링, 복직근 | 강화: 요추기립근, 둔근, 장요근 | 가동성: 요추 신전, 고관절 굴/신전","분절움직임 제한"
"Sway Back","스웨이 백","전신","Sway_Back","햄스트링 (Hamstrings), 복직근 (Rectus Abdominis)","둔근 (Gluteals), 복횡근 (Transversus Abdominis)","햄스트링 (Hamstrings), 복직근 (Rectus Abdominis)","둔근 (Gluteals), 복횡근 (Transversus Abdominis)","관절 가동성","스트레칭: 햄스트링 (Hamstrings), 복직근 (Rectus Abdominis) | 강화: 둔근 (Gluteals), 복횡근 (Transversus Abdominis) | 가동성: 관절 가동성","기능적 부하 증가"
"Pelvic Obliquity","골반 기울기","골반 (Pelvis)","Pelvic_Obliquity","TFL (Tensor Fasciae Latae), 요방형근 (Quadratus Lumborum)","중둔근 (Gluteus Medius), 둔근 (Gluteals)","TFL (Tensor Fasciae Latae), 요방형근 (Quadratus Lumborum)","중둔근 (Gluteus Medius), 둔근 (Gluteals)","관절 가동성","스트레칭: TFL (Tensor Fasciae Latae), 요방형근 (Quadratus Lumborum) | 강화: 중둔근 (Gluteus Medius), 둔근 (Gluteals) | 가동성: 관절 가동성","기능적 부하 증가"
"Pelvic Rotation","골반 회전","골반 (Pelvis)","Pelvic_Rotation","외복사근 (External Oblique), 내복사근 (Internal Oblique)","다열근 (Multifidus), 횡격막 (Diaphragm)","외복사근 (External Oblique), 내복사근 (Internal Oblique)","다열근 (Multifidus), 횡격막 (Diaphragm)","관절 가동성","스트레칭: 외복사근 (External Oblique), 내복사근 (Internal Oblique) | 강화: 다열근 (Multifidus), 횡격막 (Diaphragm) | 가동성: 관절 가동성","기능적 부하 증가"
