key,posture_ko,posture_en,region,joint_mechanics,functional_line,tight_primary,tight_secondary,tight_description,weak_primary,weak_secondary,weak_description,causes,symptoms,compensation_patterns,stretch_focus,strengthen_focus,mobility_focus,observation,tests,palpation,clinical_significance,ai_metrics
Anterior Pelvic Tilt,골반 전방경사,Anterior Pelvic Tilt,골반 (Pelvis),"요추 전만 증가, 고관절 굴곡, 슬관절 과신전 경향","SFL 과활성, DFL 불균형","장요근 (Iliopsoas), 대퇴직근 (Rectus Femoris), 요추기립근 (Erector Spinae)","TFL (Tensor Fasciae Latae), 내전근 (Adductors), 요방형근 (Quadratus Lumborum)",고관절 굴곡/요추 신전계 단축,"복직근 (Rectus Abdominis), 복횡근 (Transversus Abdominis), 대둔근 (Gluteus Maximus)","햄스트링 (Hamstrings), 다열근 (Multifidus)",코어/둔근 약화로 전방경사 조절 실패,"장시간 좌식, 힙 플렉서 과활성, 복부 약화, 산후 이완","요통, 허리 피로, 복부/엉덩이 돌출","흉추 과후만, 라운드숄더, 전방머리","장요근, 대퇴직근, 요추기립근","복횡근, 대둔근, 햄스트링","고관절 신전, 요추 안정화","ASIS 하방/PSIS 상방, 요추 전만 증가","Thomas(+), Ely(+), Active SLR 제한","장요근 긴장, 요추기립근 단축","Lower Crossed Syndrome 핵심, 요추 부담 증가","{""PTA_threshold"": ""> +10°"", ""CVA_correlation"": ""<55°(동반 시)""}"
Posterior Pelvic Tilt,골반 후방경사,Posterior Pelvic Tilt,골반 (Pelvis),"요추 전만 감소/평배, 고관절 상대적 신전","SBL 과활성, DFL 억제","햄스트링 (Hamstrings), 복직근 (Rectus Abdominis)","대둔근 (Gluteus Maximus), 복사근 (Obliques)",후방 사슬 과활성/햄스트링 의존,"장요근 (Iliopsoas), 요추기립근 (Erector Spinae), 대퇴직근 (Rectus Femoris)","둔근군 (Gluteals), 다열근 (Multifidus)","고관절 신전전략 과다, 요추 신전 약화","구부정 좌식, 복부 과활성, 둔근 약화","요추 경직감, 둔부 무력감","평배/흉추 과후만, 전방머리","햄스트링, 복직근","장요근, 요추기립근, 둔근","요추 신전, 고관절 굴곡 가동성","ASIS 상방/PSIS 하방, 전만 감소","SLR 타이트, Prone press-up 제한",햄스트링 긴장,"Flat-back 연관, 분절운동성 저하","{""PTA_threshold"": ""< -5°""}"
Forward Head Posture,전방머리자세,Forward Head Posture,경추 (Cervical),"상부경추 신전/하부경추 굴곡, 흉추 후만 증가","DFL 불균형, SFL 과활성","흉쇄유돌근 (SCM), 상부승모 (Upper Trapezius), 견갑거근 (Levator Scapulae)","소흉근 (Pectoralis Minor), 사각근 (Scalenes)",경추 신전군 과활성/전인,심부경부굴근 (Deep Neck Flexors),"하부승모 (Lower Trapezius), 전거근 (Serratus Anterior)",심부굴근 억제,"스마트폰/PC 고개 숙임, 시선 낮은 작업","목/두통, 어깨 결림, 상부승모 긴장","라운드숄더, 구강호흡","소흉근, SCM, 상부승모","심부경부굴근, 하부승모, 전거근","경추/흉추 신전, 흉곽 확장","CVA 감소, 턱전돌",Craniocervical Flexion Test 저하,후두하근 압통,TMD/편두통/TOS 연관,"{""CVA"": ""< 55°"", ""HPD"": ""> 2 cm""}"
Rounded Shoulders,라운드숄더,Rounded Shoulders,견갑/어깨 (Scapula/Shoulder),"견갑 전인, 상방회전 증가, 흉추 후만 동반",Anterior Functional Line 과활성,"대흉근 (Pectoralis Major), 소흉근 (Pectoralis Minor), 상부승모 (Upper Trapezius)",전면삼각근 (Anterior Deltoid),흉근 단축/견갑 상방회전 우세,"하부승모 (Lower Trapezius), 능형근 (Rhomboids), 전거근 (Serratus Anterior)",중부승모 (Middle Trapezius),견갑 후인/하강 약화,"컴퓨터 작업, 푸시 동작 과다","어깨 전방 통증, 견갑 불안정","FHP 동반, 흉추 후만","소흉근, 대흉근","하부승모, 능형근, 전거근","흉추 신전, 견갑 후인/하강",충돌증후군/회전근개 간섭,"Scapular assistance test(+), Pec minor tightness",소흉근 압통,충돌/불안정 위험 증가,"{""SAA"": ""> 10°""}"
Thoracic Hyperkyphosis,흉추 과후만,Thoracic Hyperkyphosis,흉추 (Thoracic),"흉추 굴곡 증가, 견갑 전인, 경추 보상 신전",SFL 과활성/흉곽 경직,"복직근 (Rectus Abdominis), 소흉근 (Pectoralis Minor)",복사근 (Obliques),흉곽 전벽 단축,"흉추기립근 (Thoracic Erectors), 하부승모 (Lower Trapezius)","다열근 (Multifidus), 능형근 (Rhomboids)",흉추 신전 약화,"구부정 작업, 호흡 패턴 저하","등 결림, 호흡 얕음",FHP/라운드숄더,"소흉근, 복직근","흉추기립근, 하부승모","흉추 신전, 흉곽 확장",후만 증가 관찰,Wall-to-occiput distance↑,극돌기 압통,폐활량 저하/압박골절 감별,"{""TIA"": ""> 10°"", ""SAA"": ""> 10°""}"
Lumbar Hyperlordosis,요추 과전만,Lumbar Hyperlordosis,요추 (Lumbar),"요추 전만 과다, 골반 전방경사 동반",SFL 단축,"장요근 (Iliopsoas), 요추기립근 (Erector Spinae)",대퇴직근 (Rectus Femoris),요추 신전 과활성,"복횡근 (Transversus Abdominis), 대둔근 (Gluteus Maximus)","햄스트링 (Hamstrings), 다열근 (Multifidus)",코어/둔근 억제,"하이힐, 코어 약화","요통, 기립 불편",A.P.T 동반,"장요근, 요추기립근","복부 코어, 둔근",요추-골반 리듬,후관절 스트레스/분리증,Passive lumbar extension pain,기립근 긴장,전방전위증 감별,"{""PTA"": ""> +10°"", ""HPA"": ""> 10°""}"
Flat Back,평배,Flat Back,척추 (Spine),"요추 전만 및 흉추 후만 감소, 편평 정렬",SBL 과활성/분절운동성 저하,"햄스트링 (Hamstrings), 복직근 (Rectus Abdominis)",요방형근 (Quadratus Lumborum),후방 사슬 의존,"장요근 (Iliopsoas), 요추기립근 (Erector Spinae), 둔근 (Gluteals)",다열근 (Multifidus),요추 신전 약화,"복부 과브레이싱, 좌식","허리 뻣뻣, 기립 피로",FHP 보상,"햄스트링, 복직근","요추기립근, 둔근, 장요근","요추 신전, 고관절 굴/신전",디스크성 통증 감별,Prone press-up 제한,요부 근막 긴장,분절움직임 제한,"{""PTA"": ""< -5°"", ""HPA"": ""< 5°""}"
Sway Back,스웨이 백,Sway Back,전신,골반 전방이동+상체 후방,Back Functional Line 과활성,"햄스트링 (Hamstrings), 복직근 (Rectus Abdominis)",TFL (Tensor Fasciae Latae),단축/과활성 패턴,"둔근 (Gluteals), 복횡근 (Transversus Abdominis)",흉추기립근 (Thoracic Erectors),약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"햄스트링 (Hamstrings), 복직근 (Rectus Abdominis)","둔근 (Gluteals), 복횡근 (Transversus Abdominis)",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""GSB"": ""> 2 cm""}"
Pelvic Obliquity,골반 기울기,Pelvic Obliquity,골반 (Pelvis),좌우 ASIS 높이 차,Lateral Line 불균형,"TFL (Tensor Fasciae Latae), 요방형근 (Quadratus Lumborum)",척추기립근 (Erectors),단축/과활성 패턴,"중둔근 (Gluteus Medius), 둔근 (Gluteals)",복횡근 (Transversus Abdominis),약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"TFL (Tensor Fasciae Latae), 요방형근 (Quadratus Lumborum)","중둔근 (Gluteus Medius), 둔근 (Gluteals)",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""POA"": ""> 3°""}"
Pelvic Rotation,골반 회전,Pelvic Rotation,골반 (Pelvis),수평면 회전 편향,Spiral Line 불균형,"외복사근 (External Oblique), 내복사근 (Internal Oblique)",TFL,단축/과활성 패턴,"다열근 (Multifidus), 횡격막 (Diaphragm)",복횡근,약화/억제 패턴,"습관 자세, 근력 불균형","피로감, 불편감",보상 전략 발생,"외복사근 (External Oblique), 내복사근 (Internal Oblique)","다열근 (Multifidus), 횡격막 (Diaphragm)",관절 가동성,시진 이상,기능검사 편차,관련 근육 압통,기능적 부하 증가,"{""PRA"": ""> 5°""}"
